API,Permit Num
33061036530000,31014
33061035630000,30637
33061035620000,30636
33053068420000,31005
33053068430000,31006
33025027150000,29789
33025027190000,29819
33025027140000,29788
33055001360000,19296
33053068450000,31008
33053068440000,31007
33061028870000,27272
33061028860000,27271
33061028850000,27270
33061024860000,25245
33025027050000,29715
33025027060000,29716
33025027070000,29717
33061025090000,25321
33025021360000,25429
33025021380000,25431
33025013020100,20419
33055001550000,21211
33055001480100,20454
33055001560100,21286
33061025440000,25495
33061025450000,25496
33061026750000,26268
33025023140000,26703
33025023160000,26705
33025023150000,26704
33025023130000,26702
33061029170000,27429
33061029180000,27430
33061029160000,27428
33061031660000,28677
33061027470000,26595
33061027480000,26596
33061027490000,26597
33025029520000,31300
33025029530000,31301
33025029540000,31302
33025029550000,31303
33025029480000,31296
33025029490000,31297
33025029500000,31298
33025029510000,31299
33053028800000,17251
33053028820000,17254
33053028850000,17266
33061037930000,31819
33061037940000,31820
33025030280000,32060
33025030290000,32061
33025030300000,32062
33025030310000,32063
33053058850000,28265
33053062540000,29375
33025027040000,29714
33053066070000,30290
33053066060000,30289
33053066050000,30288
33053066040000,30287
33025022720000,26364
33053036930000,21217
33053028840000,17261
33053063200000,29523
33053070690000,31530
33053074940000,32492
33053074950000,32493
33053074960000,32494
33053074970000,32495
33053074980000,32496
33053074990000,32497
33053066850000,30583
33053066830000,30581
33053066860000,30584
33053066840000,30582
33053066870000,30585
33061039200000,32398
33061039210000,32399
33061039220000,32400
33061039240000,32408
33061033090000,29472
33061013970000,19150
33025028620000,30773
33025028600000,30771
33025028570000,30768
33025028610000,30772
33025028590000,30770
33025028580000,30769
33053074510000,32401
33053074520000,32402
33053074530000,32403
33053074540000,32404
33053074550000,32405
33053074560000,32406
33053067190000,30711
33053067200000,30712
33053067990000,30904
33053068040000,30909
33053068020000,30907
33053068010000,30906
33053068000000,30905
33053067150000,30707
33053067170000,30709
33053067160000,30708
33053068030000,30908
33053028830000,17260
33055001820000,31109
33055001830000,31110
33055001840000,31111
33025022700000,26362
33025022710000,26363
33025029400000,31215
33025029420000,31217
33025029440000,31219
33025029460000,31221
33025029410000,31216
33025029430000,31218
33025029450000,31220
33025016930000,22827
33025016950000,22829
33025016610000,22653
33025016630000,22655
33025016600000,22652
33025016620000,22654
33061031620000,28668
33025029470000,31288
33025027160000,29790
33025029330000,31187
33025032180000,32985
33025031700000,32790
33025031690000,32789
33025023230000,26731
33025023240000,26732
33025023790000,27165
33025023810000,27167
33025023800000,27166
33025023820000,27168
33025023830000,27169
33025023850000,27171
33025023840000,27170
33025023860000,27172
33025023870000,27173
33025023890000,27175
33025023880000,27174
33025023900000,27176
33025027860000,30171
33025027870000,30172
33025027350000,29970
33025027360000,29971
33025027410000,29976
33055001500000,20658
33025031250000,32527
33025031260000,32528
33061019580000,22071
33025018730000,23882
33025018740000,23883
