Well Number,Month of Production,Days,BBLS Oil,BBLS Water,MCF Prod
22649,12-2017,30,1175,1020,1207
22649,11-2017,30,1166,1015,1197
22650,4-2018,30,1042,1505,1360
22650,3-2018,31,1091,1575,1423
22650,2-2018,28,675,849,881
22650,1-2018,31,1008,1347,1315
22650,12-2017,29,861,1135,1122
22650,11-2017,30,931,1239,1216
22651,4-2018,30,1192,965,1140
22651,3-2018,31,1472,1302,1409
22651,2-2018,28,1409,1187,1348
22651,1-2018,31,1571,1390,1505
22651,12-2017,30,1575,1461,1507
22651,11-2017,30,1489,1309,1425
22828,4-2018,30,1445,535,1196
22828,3-2018,12,355,181,343
22828,2-2018,28,920,314,760
22828,1-2018,31,1375,391,941
22828,12-2017,31,1122,406,928
22828,11-2017,30,1124,405,929
23093,5-2018,31,10420,9565,15589
23093,4-2018,30,10460,7500,15225
23093,3-2018,31,12337,11562,17875
23093,2-2018,28,12495,10609,18449
23093,1-2018,17,7703,7736,11305
23093,12-2017,31,13931,13737,16023
23094,5-2018,31,2415,619,3066
23094,4-2018,30,2162,606,2533
23094,3-2018,31,2225,690,2874
23094,2-2018,28,2550,1000,2916
23094,1-2018,31,2994,1390,3624
23094,12-2017,31,2600,2097,2280
23095,5-2018,31,1129,511,1858
23095,4-2018,30,1248,512,1625
23095,3-2018,31,1080,534,1706
23095,2-2018,28,1085,608,2069
23095,1-2018,31,1197,824,2626
23095,12-2017,31,1207,854,2459
23096,5-2018,31,542,474,901
23096,4-2018,30,714,614,1052
23096,3-2018,31,587,398,856
23096,2-2018,28,1457,627,1631
23096,1-2018,31,1684,834,2077
23096,12-2017,31,1609,847,1917
23097,5-2018,31,7754,3174,13359
23097,4-2018,30,8820,5088,13979
23097,3-2018,31,9752,3475,12635
23097,2-2018,28,11071,4376,14044
23097,1-2018,31,12580,4284,15194
23097,12-2017,28,9409,6634,10930
23098,5-2018,31,1380,385,3389
23098,4-2018,30,1548,630,3562
23098,3-2018,31,1633,608,4233
23098,2-2018,28,1878,849,4069
23098,1-2018,30,2030,1114,4479
23098,12-2017,31,2177,1180,4537
23099,5-2018,31,2175,403,3982
23099,4-2018,30,2326,514,4430
23099,3-2018,31,2775,645,5913
23099,2-2018,28,2377,604,5106
23099,1-2018,31,2638,705,5534
23099,12-2017,31,2519,703,5103
23100,5-2018,31,2523,554,3509
23100,4-2018,30,2496,641,3149
23100,3-2018,31,2564,630,3282
23100,2-2018,27,2100,518,2711
23100,1-2018,25,1970,581,2802
23100,12-2017,29,2326,799,3383
23101,5-2018,31,2104,464,1740
23101,4-2018,30,2542,453,2160
23101,3-2018,31,2640,604,2616
23101,2-2018,28,2070,601,2098
23101,1-2018,28,2151,669,1953
23101,12-2017,29,2438,825,2121
23102,5-2018,31,2778,1114,3238
23102,4-2018,30,2595,1363,2847
23102,3-2018,31,3494,1278,2985
